state,x,y
Andhra Pradesh,-98,-129
Arunachal Pradesh,274,155
Assam,232,115
Bihar,87,92
Chhattisgarh,-25,-15
Goa,-225,-150
Gujarat,-263,47
Haryana,-138,192
Himachal Pradesh,-111,261
Jharkhand,63,35
Karnataka,-193,-178
Kerala,-171,-294
Madhya Pradesh,-114,40
Maharashtra,-209,-51
Manipur,266,66
Meghalaya,186,85
Mizoram,240,33
Nagaland,276,103
Odisha,21,-34
Punjab,-174,230
Rajasthan,-255,137
Sikkim,141,141
Tamil Nadu,-146,-271
Telangana,-100,-91
Tripura,216,43
Uttarakhand,-90,217
Uttar Pradesh,-86,142
West Bengal,116,27
Delhi,-121,179
